0	0.118
5	0.171
10	0.271
20	0.548
30	0.954
40	1.283
50	1.563
60	1.796
70	1.972
80	2.080
90	2.116
100	2.080
110	1.972
120	1.796
130	1.563
140	1.283
150	0.954
160	0.548
170	0.271
175	0.171
180	0.118
190	0.173
200	0.292
210	0.484
220	0.733
230	1.012
240	1.278
250	1.495
260	1.633
270	1.680
280	1.633
290	1.495
300	1.278
310	1.012
320	0.733
330	0.484
340	0.292
350	0.173
360	0.118
