0	0.001	10
0.1	0.56	10
0.2	1.12	9.9997
0.3	1.68	9.9989
0.4	2.24	9.9974
0.5	2.8	9.995
0.6	3.36	9.9914
0.7	3.92	9.9863
0.8	4.48	9.9795
0.9	5.04	9.9708
1	5.6	9.96
1.1	6.16	9.9468
1.2	6.72	9.9309
1.3	7.28	9.9121
1.4	7.84	9.8902
1.5	8.4	9.865
1.6	8.96	9.8362
1.7	9.52	9.8035
1.8	10.08	9.7667
1.9	10.64	9.7256
2	11.2	9.68
2.1	11.76	9.6296
2.2	12.32	9.5741
2.3	12.88	9.5133
2.4	13.44	9.447
2.5	14	9.375
2.6	13.4615	9.297
2.7	12.963	9.2127
2.8	12.5	9.1219
2.9	12.069	9.0244
3	11.6667	8.92
3.1	11.2903	8.8084
3.2	10.9375	8.6893
3.3	10.6061	8.5625
3.4	10.2941	8.4278
3.5	10	8.285
3.6	9.7222	8.1338
3.7	9.4595	7.9739
3.8	9.2105	7.8051
3.9	8.9744	7.6272
4	8.75	7.44
4.1	8.5366	7.2432
4.2	8.3333	7.0365
4.3	8.1395	6.8197
4.4	7.9545	6.5926
4.5	7.7778	6.355
4.6	7.6087	6.1066
4.7	7.4468	5.8471
4.8	7.2917	5.5763
4.9	7.1429	5.294
5	7	5
5.1	6.8627	4.706
5.2	6.7308	4.4237
5.3	6.6038	4.1529
5.4	6.4815	3.8934
5.5	6.3636	3.645
5.6	6.25	3.4074
5.7	6.1404	3.1803
5.8	6.0345	2.9635
5.9	5.9322	2.7568
6	5.8333	2.56
6.1	5.7377	2.3728
6.2	5.6452	2.1949
6.3	5.5556	2.0261
6.4	5.4688	1.8662
6.5	5.3846	1.715
6.6	5.303	1.5722
6.7	5.2239	1.4375
6.8	5.1471	1.3107
6.9	5.0725	1.1916
7	5	1.08
7.1	4.9296	0.97556
7.2	4.8611	0.87808
7.3	4.7945	0.78732
7.4	4.7297	0.70304
7.5	4.6667	0.625
7.6	4.6053	0.55296
7.7	4.5455	0.48668
7.8	4.4872	0.42592
7.9	4.4304	0.37044
8	4.375	0.32
8.1	4.321	0.27436
8.2	4.2683	0.23328
8.3	4.2169	0.19652
8.4	4.1667	0.16384
8.5	4.1176	0.135
8.6	4.0698	0.10976
8.7	4.023	0.08788
8.8	3.9773	0.06912
8.9	3.9326	0.05324
9	3.8889	0.04
9.1	3.8462	0.02916
9.2	3.8043	0.02048
9.3	3.7634	0.01372
9.4	3.7234	0.00864
9.5	3.6842	0.005
9.6	3.6458	0.00256
9.7	3.6082	0.00108
9.8	3.5714	0.00032
9.9	3.5354	4.00E-05
10	3.5	0
