# "T","u","v","w","p","k","mu","vel_penalty_:0","vel_penalty_:1","vel_penalty_:2","vel_source_:0","vel_source_:1","vel_source_:2","Points:0","Points:1","Points:2"
313.92,0.1136,-0.0093028,0.21132,-3.1104,13.12,0.00923,0,0,0,0,0,0,-4.8877,0,2.5
313.91,0.11858,-0.0094004,0.20755,-3.1118,13.12,0.00923,0,0,0,0,0,0,-4.8,0,2.5
313.94,0.12233,-0.0096346,0.20568,-3.1124,13.12,0.00923,0,0,0,0,0,0,-4.6477,0,2.5
313.93,0.12535,-0.010153,0.20107,-3.1134,13.12,0.00923,0,0,0,0,0,0,-4.56,0,2.5
313.95,0.1269,-0.0067304,0.19452,-3.1134,13.12,0.00923,0,0,0,0,0,0,-4.4077,0,2.5
314.2,0.12173,0.017737,0.078527,-3.1061,13.12,0.00923,-1.1926,17.727,0,0,0,0,-2.4877,0,2.5
314.23,0.11091,0.0064036,0.079956,-3.1038,13.12,0.00923,-1.8794,27.937,0,0,0,0,-2.4,0,2.5
314.08,-0.11245,-0.012017,0.1064,-3.093,13.12,0.00923,0.68687,-10.21,0,0,0,0,2.5523,0,2.5
314.15,-0.10257,-0.0083938,0.11998,-3.0887,13.12,0.00923,1.8794,-27.937,0,0,0,0,2.4,0,2.5
314.88,-0.014771,-0.022863,0.63304,-3.1073,13.12,0.00923,-20.297,19.068,0,0,0,0,-1.6477,0,2.5
315,0.0091572,0.041968,0.85688,-3.0643,13.12,0.00923,-23.383,15.402,0,0,0,0,-1.56,0,2.5
314.83,-0.027919,-0.034485,0.5448,-3.1124,13.12,0.00923,-19.16,20.418,0,0,0,0,-1.68,0,2.5
315.17,-0.02463,0.34513,1.0043,-3.0345,13.12,0.00923,-17.092,11.258,0,0,0,0,-1.5277,0,2.5
315.57,-0.13056,1.2039,1.3473,-2.9102,13.12,0.00923,0,0,0,0,0,0,-1.44,0,2.5
315.97,-0.15194,1.3436,1.5377,-3.0039,13.12,0.00923,0,0,0,0,0,0,-1.4077,0,2.5
316.86,-0.22178,1.6812,2.0207,-3.2486,13.12,0.00923,0,0,0,0,0,0,-1.32,0,2.5
317.62,-0.24476,1.6473,2.2107,-3.3918,13.12,0.00923,0,0,0,0,0,0,-1.2877,0,2.5
319.41,-0.34475,1.5956,2.7602,-3.7519,13.12,0.00923,0,0,0,0,0,0,-1.2,0,2.5
320.29,-0.3552,1.5176,2.7562,-3.9211,13.12,0.00923,0,0,0,0,0,0,-1.1677,0,2.5
322.92,-0.41764,1.3611,2.9074,-4.3621,13.12,0.00923,0,0,0,0,0,0,-1.08,0,2.5
323.03,-0.39855,1.2216,2.5899,-4.463,13.12,0.00923,0,0,0,0,0,0,-1.0477,0,2.5
324.18,-0.32243,0.85348,1.8755,-4.7806,13.12,0.00923,0,0,0,0,0,0,-0.96,0,2.5
314.25,0.10784,0.0087895,0.083428,-3.1031,13.12,0.00923,-2.5214,27.866,0,0,0,0,-2.3677,0,2.5
314.3,0.096509,0.014579,0.090986,-3.1008,13.12,0.00923,-4.2652,27.673,0,0,0,0,-2.28,0,2.5
314.32,0.092475,0.016201,0.097196,-3.1001,13.12,0.00923,-4.9491,27.535,0,0,0,0,-2.2477,0,2.5
314.39,0.078931,0.02079,0.10936,-3.0983,13.12,0.00923,-6.8069,27.16,0,0,0,0,-2.16,0,2.5
314.41,0.073648,0.021117,0.1184,-3.0975,13.12,0.00923,-7.5381,26.937,0,0,0,0,-2.1277,0,2.5
314.49,0.056074,0.022005,0.13762,-3.0953,13.12,0.00923,-9.5244,26.33,0,0,0,0,-2.04,0,2.5
314.52,0.049562,0.020424,0.15427,-3.0948,13.12,0.00923,-10.311,25.994,0,0,0,0,-2.0077,0,2.5
314.61,0.027256,0.014231,0.19472,-3.0933,13.12,0.00923,-12.447,25.081,0,0,0,0,-1.92,0,2.5
314.64,0.021835,0.010489,0.22883,-3.093,13.12,0.00923,-13.302,24.584,0,0,0,0,-1.8877,0,2.5
314.72,0.00031746,-0.0055946,0.32377,-3.0913,13.12,0.00923,-15.625,23.235,0,0,0,0,-1.8,0,2.5
314.75,-0.0030235,-0.008327,0.37946,-3.0959,13.12,0.00923,-16.576,22.477,0,0,0,0,-1.7677,0,2.5
316.83,0.047863,-0.076134,-0.92537,-5.5706,13.12,0.00923,0,0,0,0,0,0,0.032289,0,2.5
316.99,0.13306,-0.19241,-0.90036,-5.5659,13.12,0.00923,0,0,0,0,0,0,0.12,0,2.5
316.73,0.0098488,-0.006521,-0.94365,-5.5754,13.12,0.00923,0,0,0,0,0,0,0,0,2.5
317.26,0.16443,-0.26127,-0.84414,-5.5426,13.12,0.00923,0,0,0,0,0,0,0.15229,0,2.5
317.68,0.22685,-0.37355,-0.7553,-5.5117,13.12,0.00923,0,0,0,0,0,0,0.24,0,2.5
318.05,0.24908,-0.43215,-0.7048,-5.4667,13.12,0.00923,0,0,0,0,0,0,0.27229,0,2.5
